TEST BATCH;INSTANCE;NUMBER CUSTOMERS;GAMMAT;DEVIATIONT;RUNTIME;RESULT;RESULT DESCRIPTION;INCUMBENT;BEST BOUND;MIP ABSOLUTE GAP;MIP RELATIVE GAP
F;R106;25;1;0.25;49.97;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;597;597;0;0
F;R107;25;1;0.25;3600.02;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;612.8;596.2;16.6;0.0271
F;R108;25;1;0.25;3600.02;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;580.8;526.6;54.2;0.0933
F;R109;25;1;0.25;4.09;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;623.3;623.3;0;0
F;R110;25;1;0.25;3600.02;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;606;567.1;38.9;0.0642
F;R111;25;1;0.25;554.68;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;595.6;595.6;0;0
F;R112;25;1;0.25;3600.03;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;567.4;450.1;117.3;0.2067
F;R201;25;1;0.25;2.31;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;645.8;645.8;0;0
F;R202;25;1;0.25;2122.17;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;521.6;521.6;0;0
F;R203;25;1;0.25;3600.03;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;564.9;520.7;44.2;0.0782
F;R204;25;1;0.25;3600.02;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;515.7;441.7;74;0.1435
F;R205;25;1;0.25;28.13;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;562.9;562.9;0;0
F;R206;25;1;0.25;1810.43;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;534.2;534.2;0;0
F;R207;25;1;0.25;3600.02;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;538.4;468.5;69.9;0.1298
F;R208;25;1;0.25;3600.02;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;435;410.9;24.1;0.0554
